source_id,ra,dec,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag
2503013584700232320,37.87550010042334,2.26714041299335,4.8647137,1.4226408,5.5193863,4.0967455
60494103263991168,48.72528453666189,21.04411908941896,4.8649964,0.0074853897,4.8562527,4.8487673
4534818718162962304,284.9399424369994,26.230355134642483,4.865078,1.4169111,5.513085,4.096174
4231171058672649856,309.85414986369847,0.48638687665452734,4.8659024,1.1986747,5.3930855,4.194411
777254360337133312,164.8647031186751,40.43050097561348,4.866588,0.7958617,5.1859307,4.390069
4576147844112599424,270.37674681285415,21.595951987426805,4.8668303,0.23005581,4.9445767,4.714521
5594744319561546752,117.39730682802694,-33.288945517907855,4.8668504,1.9611628,5.859248,3.8980854
415024618257029888,12.20863075855762,50.968128896486576,4.867326,-0.11441326,4.82453,4.9389434
1761510948746562816,313.90294608338587,13.721485305162814,4.867437,1.271821,5.434887,4.163066
5158832592439126272,41.98299452292189,-12.460853543737004,4.8683524,3.3709228,6.8871827,3.51626
4515855716012824704,291.36959205130364,19.798025249014493,4.8684735,1.1671057,5.3775735,4.210468
1866118523683152640,313.47443579687064,33.438044590580375,4.8694544,1.7637978,5.7266207,3.962823
2212347171817904640,345.88726821871256,67.20925630642787,4.8701515,1.3630943,5.4902253,4.127131
5997906921059778688,240.8506851161815,-38.60266472752848,4.8705945,-0.18828249,4.7867947,4.975077
2975145496872778496,75.356760348796,-20.051987428823246,4.8711514,-0.04392481,4.856303,4.900228
4343066192373234048,241.09200703332746,-11.373047155772015,4.871742,0.5312722,4.3427424,3.8114703
5303286052150068352,134.24332976819503,-59.229296625343046,4.8720546,-0.25059414,4.7787395,5.0293336
2220601656582906880,319.8426438315253,64.87188332691034,4.87215,0.15971184,4.9160805,4.7563686
953838195501646848,104.4044785825968,45.09407884832102,4.8726277,0.06882429,4.8980064,4.829182
2289510386756671872,290.39787119266987,76.5595979361358,4.8730974,2.667678,6.4022512,3.7345731
6119285205089348608,214.93480145574554,-36.858301949107314,4.873595,3.8991919,7.3560896,3.4568977
2035035223783462400,296.60678841603806,33.72560570838146,4.873973,0.64211273,5.123677,4.481564
5583831735369515008,99.44897561119097,-32.33944403692668,4.8742375,1.3992214,5.5072803,4.108059
4760116622140086400,81.58018977224282,-58.91236956183499,4.874447,1.1303487,5.3621826,4.231834
1135133987746266368,120.04877882720153,73.91775095460001,4.8755093,1.5778809,5.6181183,4.0402374
5384410837537766784,173.19990023735218,-40.43593344322096,4.875956,2.0142438,5.889647,3.8754032
5330765974462198784,137.768289864662,-44.86788305060216,4.876352,0.39040375,5.012632,4.622228
6332277920392457472,225.24283457293987,-8.51897410767388,4.87722,0.089035034,4.90281,4.813775
4431639310048958208,247.1416067673971,0.6646980871960118,4.878614,1.6482134,5.656975,4.0087614
5495414576539584768,97.3684240475613,-56.852623478895914,4.879341,1.2743664,5.4422126,4.167846
3120313707851927296,96.80734806861902,0.2992043358231788,4.879373,1.2772202,5.4532237,4.1760035
4154786748987811456,278.7601906865285,-10.977230017658773,4.87976,1.0886769,5.348239,4.259562
300312157810876544,33.092500792809275,30.30280587186723,4.881029,1.1282492,5.367938,4.239689
6694503955921318784,304.0983910443687,-36.45364448031958,4.8812265,3.0044782,6.6217394,3.6172612
1597350774639252352,239.44650655197813,54.75023969260483,4.8819346,0.38831997,5.0282207,4.6399007
106209872601324672,32.35592231219954,25.939727207055224,4.8825874,0.50604486,5.0754085,4.5693636
6342293925862497792,283.6925300690643,-87.60644649747864,4.8847165,1.4201074,5.539761,4.1196537
6769709554832595456,291.318926556436,-24.50881141238066,4.884791,0.33917713,5.077751,4.738574
913924583384303872,132.9867038166478,43.72681009071655,4.8851395,1.1433892,5.380178,4.2367887
2204429730329252736,329.72312591931814,62.69805388675651,4.8852158,2.5222192,6.2489324,3.7267132
6827937285453374720,320.75223155800967,-22.669046038741236,4.88555,1.9769216,5.886328,3.9094067
3501286618492133632,187.57256133475363,-23.696413377113537,4.885602,2.0173798,5.8987904,3.8814106
1576850723937017216,195.183114888134,56.366353759527094,4.8859625,0.51829433,5.0164657,4.4981713
1574672346588012800,186.26325269491625,56.777773553165225,4.8861985,2.3094358,6.090091,3.7806554
6001075885364398592,234.0501336066563,-44.39707667052472,4.886434,1.6886973,5.7003293,4.011632
2883439630045405312,88.71860970814598,-39.957765377148824,4.8870573,1.8797607,5.809468,3.929707
599009541062160000,126.47804153031689,7.5644590757805235,4.8872147,1.0849757,5.353441,4.2684655
4649242728593288320,73.79714441984494,-74.93658079301163,4.887222,1.7172031,5.7141666,3.9969635
2713130535941345792,343.80730729440296,8.816236561062349,4.88758,0.030933857,4.890669,4.859735
1827977186901985024,297.76723062925794,22.609977845750336,4.8875833,-0.22139406,4.8100796,5.0314736
841920040781646080,176.73186602245164,55.62804519747156,4.8879147,1.3774018,5.51388,4.136478
6781170726597994240,316.6027907754175,-32.341584354854774,4.888074,1.2487721,5.4451613,4.196389
1120033123252071168,145.7378857090748,72.25249804713006,4.8888545,1.1559944,5.384848,4.2288537
1284713920410139008,215.55813236665452,29.36980519086603,4.8893595,3.0674229,6.6726327,3.6052098
3712858597278688000,203.5332452087898,3.6588658150545728,4.8898096,0.057948112,4.9094434,4.8514953
2060523518197844608,303.63384610453693,36.80661427068439,4.889878,0.26083565,4.9838257,4.72299
6708611446026198528,277.9392831685411,-45.914929694524574,4.8899994,-0.12432814,4.845751,4.970079
4086248726006683648,281.50476188798416,-19.60633815800791,4.890853,3.050091,6.6665697,3.6164787
2272956105327778816,325.76621023876135,72.31990782775702,4.891074,1.1909523,5.415269,4.2243166
1830575779527121664,303.8760081511615,23.508870730159472,4.891197,1.1717238,5.407499,4.235775
1793035016563051392,328.0758398142776,21.273269022675954,4.891479,2.9340136,6.566973,3.6329596
2889305249701803264,90.3179329776389,-33.91195190394194,4.891814,1.8524053,5.804028,3.9516227
2138772702709216128,295.5173747289664,55.46305145378925,4.892404,3.2461448,6.817074,3.570929
1444749418381683072,204.24604606097958,24.61328440794636,4.8925366,2.1115732,5.9794307,3.8678575
5508149631314682752,105.97295228004853,-49.58327601950289,4.8937783,0.18905973,4.9628043,4.7737446
5746003103393673728,139.1739963187711,-6.353130548472965,4.8943553,1.3251133,5.4855947,4.1604815
2083947891862120192,307.5148220122709,48.951597370765676,4.894649,-0.09547281,4.854052,4.949525
6203042324394718976,221.2467241357041,-35.19184392092173,4.895011,0.059018135,4.911919,4.852901
3217460301806796032,85.21130809171673,-1.128791214877708,4.8950934,-0.2965436,4.791542,5.0880857
1656990278195317120,267.3633617683253,76.96397841698551,4.895288,0.6902814,5.150591,4.4603095
4090795790766565632,273.5661766934506,-21.71326763961775,4.8954425,1.7454183,5.740749,3.9953306
2759320022993182080,357.83849689849086,9.313070114751818,4.895734,2.244627,6.0649047,3.8202777
4207167654692390400,294.22270805867976,-7.027493521381203,4.895795,0.065760136,4.887993,4.8222327
990705816813310336,108.97788271342215,59.63631819571704,4.895882,1.234024,5.4430327,4.2090087
685307356868426240,137.33973969278807,22.045479071649428,4.8959565,1.122119,5.3817196,4.2596006
3511640513332581504,198.01521298751786,-16.199883262993993,4.8962994,0.64865875,5.145155,4.496496
1472012663889392128,204.36459586474885,36.29500221004325,4.89656,0.3596468,4.969627,4.60998
5642776240199795584,132.0608313084872,-28.63883143776042,4.8967314,3.2001128,6.791793,3.59168
1754191435419155456,309.7838788610473,10.086336871828863,4.8967876,0.8794241,5.2510343,4.37161
6493430320313329920,344.27494362034275,-57.40142194449711,4.896874,3.8966796,7.34956,3.4528801
3742985903074533632,199.31515379357802,13.675940008354154,4.897491,1.469357,5.5773597,4.1080027
4792305954618472960,87.7217775501848,-52.10921489900183,4.8983216,1.1513305,5.393961,4.2426305
265722999474087424,76.66908986187244,51.59695829274448,4.898983,0.49361706,5.060484,4.566867
20959135462406400,43.442843976137844,9.335718309145488,4.8993115,3.296356,6.8729486,3.5765927
5331441693076149248,132.44841666212642,-45.30781062927286,4.899496,0.13296366,4.940944,4.8079805
6790606529228148352,318.3226912365047,-27.619856978364467,4.900105,1.6045585,5.660063,4.0555043
5264749303462961280,92.56235755341913,-74.75398809344104,4.9001403,0.88797426,5.256069,4.368095
5873543394225295104,226.20182756080146,-64.03131338224604,4.900535,1.1267834,5.3862805,4.259497
5925327333882816256,261.50027082475435,-50.633473043874986,4.901598,1.2293682,5.4437895,4.2144213
2010848922869467008,350.6356117205665,60.13348089811874,4.90236,1.8424573,5.8113303,3.968873
4344947181887184000,242.9999646561224,-10.064281046765052,4.902428,0.14298296,4.9559608,4.812978
5522296364540119936,130.14692808570348,-45.191081430933444,4.9035635,2.0284026,5.932201,3.9037983
3386586836795298432,101.18937333087968,28.970816018995354,4.904414,1.6391654,5.678893,4.0397277
2278918344568877056,329.81131902680943,73.1791836180336,4.905107,0.6333599,5.150094,4.516734
1998276832038927744,356.75802052522687,57.45132668380801,4.9051385,1.8095186,5.7903323,3.9808137
386906188924249088,2.580228866135009,46.07226998767092,4.9088907,0.63257027,5.135044,4.502474
2072156454306478336,297.6953252456522,37.82634476338958,4.9091015,2.9025319,6.559274,3.6567423
3178047173638946432,69.72285008526825,-12.12314744617086,4.9096155,0.115926266,5.013782,4.8978558
2072529601058432768,298.9656913425931,38.486707144233186,4.910045,-0.088403225,4.8714857,4.959889
2419964589531462784,354.9463536930347,-14.222371862644826,4.91047,0.37202835,5.045219,4.6731906
6651710619772267392,283.16546539983847,-52.107799680044245,4.910602,1.1407032,5.403119,4.262416
3346050969815830784,93.01369189399288,16.130327749314425,4.9111023,-0.19284248,4.8426013,5.035444
1053778957742409984,156.03259900576703,65.56632923065649,4.911254,-0.034892082,4.8983765,4.9332685
2059262344012317312,302.3567613002785,36.83967906995688,4.911437,-0.15613985,4.841869,4.9980087
1388904123294869760,230.65572385943926,39.58139932273327,4.9114814,1.8423297,5.815156,3.9728262
6050943410590451456,246.3963061379905,-23.447279000082965,4.9118176,0.4851694,5.060237,4.5750675
2930559063426460544,110.55636700315657,-19.016629889873656,4.9122424,-0.0152516365,4.9013343,4.916586
4341074083458152704,253.6485829245367,-6.154075178288651,4.913814,1.2428517,5.472894,4.2300425
1082548980858594560,115.75141319798449,58.71012644008447,4.914018,0.15586233,4.9675536,4.8116913
990869987643774336,101.91492644994784,48.78950547790013,4.9140472,1.2521176,5.4708304,4.218713
5502040955163208832,101.71931735425845,-51.26606568710988,4.9148126,1.559176,5.6416483,4.0824723
6664325728994665088,289.0905732636469,-45.46598438583956,4.9148817,1.525404,5.6311655,4.1057615
2645537646306946688,351.73353624987254,1.2551785536593527,4.915504,0.048545837,4.9291654,4.8806195
1840941013062502912,315.87405812418086,23.996208940500647,4.9157634,3.797392,7.3137193,3.5163274
1060005766968901376,161.2668583704658,67.41138641641032,4.915826,2.4312162,6.2333145,3.8020983
3331979901042416512,94.11128944061781,12.272992041846027,4.9164104,0.5920458,5.1468368,4.554791
